glcID;gbifID;observer;datasetName;date;dayOfYear;year;year_ecodatacube_quarter;lon;lat;x_EPSG3035;y_EPSG3035;geoUncertaintyInM;speciesId;patchID;timeSerieID
2264981;2895825765.0;Miljøstyrelsen;DEN Environmental Portal;2018-09-03;246;2018;3.0;8.890327;57.11615;4253703.0;3779809.0;3.0;435;5439626;2415234
3441371;2859893484.0;hollyman;iNaturalist RG;2020-08-13;226;2020;3.0;-3.212838;54.66056;3473587.0;3583913.0;6.0;4102;3269745;252016
203883;3955021781.0;;Pl@ntNet automatic;2021-05-22;142;2021;2.0;-0.72218;38.68068;3385390.0;1798699.0;56.03;7449;3594224;576567
2902586;3957346985.0;;Pl@ntNet automatic;2020-07-05;187;2020;3.0;-2.499643;53.6374;3498862.0;3463372.0;6.0;6026;3367107;349493
1203597;2644985799.0;;Pl@ntNet automatic;2019-05-14;134;2019;2.0;4.407965;44.56498;3876361.0;2400412.0;10.2;1706;4357802;1336150
1549381;2619889479.0;Jon Mortin;iNaturalist RG;2020-04-24;115;2020;2.0;-2.580892;51.47182;3451831.0;3226404.0;4.0;518;3359168;341555
2487005;3414323615.0;Aalborg Kommune;DEN Environmental Portal;2021-07-01;182;2021;3.0;9.920495;56.98515;4316161.0;3764718.0;3.0;8058;5702132;2678250
468144;3952462106.0;;Pl@ntNet automatic;2020-06-17;169;2020;2.0;8.110702;44.02771;4169211.0;2326119.0;39.86;1108;5255549;2230859
15948;2856730801.0;Jurga Motiejūnaitė;iNaturalist RG;2020-08-19;232;2020;3.0;25.5647;54.81092;5313068.0;3630397.0;8.0;3704;6975824;3955601
717623;3951928909.0;;Pl@ntNet automatic;2021-07-27;208;2021;3.0;2.605079;48.68771;3777381.0;2868894.0;24.0;8395;4031517;1013223
3070583;3015442480.0;Horsens Kommune;DEN Environmental Portal;2020-07-02;184;2020;3.0;9.901831;55.87485;4314851.0;3641191.0;3.0;1580;5696770;2672879
843718;2648713758.0;;Pl@ntNet automatic;2019-07-21;202;2019;3.0;12.79884;46.54977;4535813.0;2608098.0;64.0;5072;6367611;3345496
445702;2853166400.0;Tommy Tyrberg;ArtPortalen;2020-08-25;238;2020;3.0;16.81141;58.18045;4721668.0;3916803.0;50.0;7746;6782268;3761647
759603;2978162770.0;;Pl@ntNet automatic;2020-09-29;273;2020;4.0;-0.857293;52.14439;3580922.0;3281374.0;32.0;9739;3580978;563306
1793371;3721025804.0;;Observation.org;2021-06-27;178;2021;3.0;6.424763;50.61788;4068075.0;3062410.0;11.0;5773;4875595;1851955
4933024;3717844251.0;;Observation.org;2020-07-25;207;2020;3.0;6.251649;45.05726;4025387.0;2445807.0;25.0;8820;4840931;1817279
4522653;3952958670.0;;Pl@ntNet automatic;2020-11-07;312;2020;4.0;12.70299;42.23431;4544838.0;2129543.0;26.4;644;6357930;3335792
3005930;1455779797.0;Bengt Westman;ArtPortalen;2017-03-31;90;2017;2.0;15.57952;58.41944;4647228.0;3937010.0;25.0;5448;6669280;3648110
3710150;2805476456.0;;Waarnemingen.be;2020-06-06;158;2020;2.0;3.17093;51.32581;3845778.0;3157224.0;60.0;7740;4134724;1115039
380295;2332932308.0;Ola Vestre;NOR Species Observation;2019-08-03;215;2019;3.0;10.84235;59.75295;4368467.0;4072765.0;25.0;1576;5943508;2920738
4810071;3958229969.0;;Pl@ntNet automatic;2019-08-07;219;2019;3.0;-5.092269;56.69212;3403358.0;3829205.0;9.61;1729;3135679;117891
2600508;3342177387.0;Jan Alsvik;NOR Species Observation;2021-08-28;240;2021;3.0;6.280886;58.82148;4105843.0;3974561.0;10.0;8987;4846886;1823240
23892;3302329472.0;Andrew Thomas;iNaturalist RG;2021-06-04;155;2021;2.0;-2.101062;52.48499;3503303.0;3332204.0;9.0;7193;3410559;392951
3569771;3958228404.0;;Pl@ntNet automatic;2019-07-18;199;2019;3.0;7.704981;47.0094;4146363.0;2657800.0;8.0;5233;5189456;2164564
4453204;3949338429.0;;Pl@ntNet observations;2021-06-18;169;2021;2.0;0.395529;43.12795;3539674.0;2274514.0;20.0;2989;3746095;728100
3675936;3037987720.0;Ringkøbing-Skjern Kommune;DEN Environmental Portal;2020-09-15;259;2020;4.0;8.322153;56.02926;4216332.0;3659589.0;86.0;2730;5295725;2271085
4753262;3955869120.0;;Pl@ntNet automatic;2019-05-23;143;2019;2.0;10.55829;52.1405;4359222.0;3225780.0;4.0;216;5863209;2840051
844510;3953063697.0;;Pl@ntNet automatic;2020-08-29;242;2020;3.0;-3.43327;47.62537;3317007.0;2815067.0;16.0;8308;3253231;235479
4859165;3333118464.0;Karsten Rohweder;iNaturalist RG;2021-06-11;162;2021;2.0;8.5744;47.7704;4214086.0;2740674.0;10.0;2963;5356752;2332197
2045668;2610983412.0;matteodeltorto;iNaturalist RG;2019-08-06;218;2019;3.0;9.271941;41.52469;4259991.0;2047300.0;9.0;9120;5533266;2509075
3133701;3959051134.0;;Pl@ntNet automatic;2021-01-18;18;2021;1.0;2.264652;48.77273;3753428.0;2880873.0;30.0;9540;3970671;952342
1191632;2834096238.0;;Observation.org;2019-07-17;198;2019;3.0;3.111009;42.20618;3751010.0;2148477.0;65.0;3674;4121178;1101632
843347;2890260655.0;Habitatvision A/S;DEN Environmental Portal;2018-05-30;150;2018;2.0;12.575;55.61403;4483310.0;3615069.0;17.68;285;6344460;3322290
1385109;2895695971.0;Miljøstyrelsen;DEN Environmental Portal;2019-08-29;241;2019;3.0;8.928345;55.99127;4254079.0;3654639.0;3.0;2828;5449902;2425529
1816209;2645430988.0;;Pl@ntNet automatic;2019-06-10;161;2019;2.0;8.998549;50.06838;4249297.0;2995605.0;65.0;3852;5470192;2445850
3838497;2648608670.0;;Pl@ntNet automatic;2019-07-28;209;2019;3.0;4.6042;52.33042;3953547.0;3260391.0;7.0;5154;4415960;1394282
4753702;3462465538.0;Miljøstyrelsen;DEN Environmental Portal;2021-07-06;187;2021;3.0;8.155626;55.93457;4205668.0;3649311.0;3.0;6249;5263179;2238498
692072;3960318667.0;;Pl@ntNet automatic;2021-10-29;302;2021;4.0;6.18334;48.69376;4040065.0;2849542.0;5.5;7858;4823379;1799714
1178200;2889944864.0;Faaborg-Midtfyn Kommune;DEN Environmental Portal;2018-08-03;215;2018;3.0;10.55874;55.17165;4356619.0;3563078.0;3.0;9785;5863297;2840139
2052776;2847770673.0;Göran Göransson, Göran Nilsson;ArtPortalen;2020-07-25;207;2020;3.0;16.60377;58.64964;4704453.0;3967621.0;25.0;6523;6766051;3745384
2038397;2889913332.0;Guldborgsund Kommune;DEN Environmental Portal;2018-08-01;213;2018;3.0;11.97887;54.91871;4447921.0;3536534.0;85.69;8144;6254164;3231791
2102096;2823294462.0;libellula70;iNaturalist RG;2020-06-13;165;2020;2.0;12.97317;45.68467;4552870.0;2512635.0;5.0;4634;6386798;3364720
908736;3034177366.0;Miljøstyrelsen;DEN Environmental Portal;2019-08-21;233;2019;3.0;14.98703;55.1981;4638415.0;3576867.0;3.0;6826;6619511;3597868
2573785;3721825867.0;;Observation.org;2021-07-24;205;2021;3.0;12.26847;47.30406;4492647.0;2690458.0;25.0;8106;6293843;3271564
1586586;3958791532.0;;Pl@ntNet automatic;2021-03-28;87;2021;2.0;-0.855786;46.74476;3494024.0;2686353.0;12.5;801;3581101;563430
4813805;3352748898.0;"Gorman, S. Sarah;Pawley, E. Esther";iRecord verified;2019-06-19;170;2019;2.0;-3.083301;53.58658;3459919.0;3464584.0;7.1;7246;3282064;264261
3739843;2647953093.0;;Pl@ntNet automatic;2018-12-24;358;2018;;8.596808;52.02574;4224694.0;3213791.0;23.23;8126;5362196;2337649
4336096;1882989221.0;"Even W. Hanssen;Reidun Braathen";NOR Species Observation;2018-06-16;167;2018;2.0;10.71001;59.45083;4361364.0;4039106.0;8.0;784;5905201;2882363
2861787;3951709917.0;;Pl@ntNet automatic;2018-09-27;270;2018;4.0;1.840818;50.11001;3738684.0;3032179.0;24.84;254;3901881;883730
189673;3954419738.0;;Pl@ntNet automatic;2021-08-19;231;2021;3.0;29.79872;62.7474;5321723.0;4547366.0;7.8;4143;6997807;3977601
270790;3722125932.0;;Observation.org;2021-07-25;206;2021;3.0;7.92279;47.90011;4165625.0;2756240.0;93.0;3349;5224976;2200165
1307973;3409728973.0;;Swiss Nat Databank;2021-07-20;201;2021;3.0;8.5872;47.36532;4214212.0;2695654.0;4.0;3271;5359816;2335267
2574535;3952524882.0;;Pl@ntNet automatic;2021-10-16;289;2021;4.0;7.592607;52.27914;4156729.0;3243775.0;65.0;3659;5162158;2137219
2474661;2889594037.0;Miljøstyrelsen;DEN Environmental Portal;2017-08-29;241;2017;3.0;9.665355;56.60452;4300429.0;3722419.0;97.72;232;5629287;2605250
4411264;3955364246.0;;Pl@ntNet automatic;2021-05-27;147;2021;2.0;2.1575;48.92981;3747419.0;2899087.0;96.0;1954;3949929;931613
1469416;3414353422.0;Aalborg Kommune;DEN Environmental Portal;2021-07-20;201;2021;3.0;9.974721;57.19884;4319470.0;3788487.0;3.0;8058;5717002;2693132
1569721;3722170938.0;;Observation.org;2021-08-07;219;2021;3.0;3.3609;43.65369;3784873.0;2306488.0;25.0;9753;4169158;1149079
170828;2641491816.0;Jurga Motiejūnaitė;iNaturalist RG;2020-06-05;157;2020;2.0;24.93026;54.9323;5270482.0;3635079.0;15.0;7747;6958926;3938692
3458384;3957076508.0;;Pl@ntNet automatic;2021-10-03;276;2021;4.0;5.639032;45.29725;3978614.0;2475024.0;24.2;9826;4673430;1650412
3396493;2895744271.0;Miljøstyrelsen;DEN Environmental Portal;2017-09-20;263;2017;4.0;8.358641;55.43836;4217068.0;3593802.0;3.0;1503;5303856;2279229
4498428;2398418102.0;Per Marstad;NOR Species Observation;2017-06-04;155;2017;2.0;10.32226;59.13326;4339489.0;4003645.0;8.0;7021;5808292;2784754
2662327;3953119574.0;;Pl@ntNet automatic;2021-06-26;177;2021;3.0;27.96786;61.04603;5282649.0;4339368.0;10.0;4835;6992625;3972416
4386404;2634370281.0;paulmulcahy;iNaturalist RG;2020-05-24;145;2020;2.0;8.423683;46.98939;4200995.0;2654150.0;16.0;830;5317319;2292716
3732151;3028503234.0;;Swiss Nat Databank;2019-05-21;141;2019;2.0;7.87081;46.69271;4158003.0;2622261.0;46.0;3271;5217083;2192247
3813636;3949069924.0;;Pl@ntNet observations;2021-03-07;66;2021;1.0;13.93371;48.11062;4613915.0;2785253.0;3.79;4051;6521659;3499782
4419113;3951812065.0;;Pl@ntNet automatic;2019-09-29;272;2019;4.0;0.162804;44.5301;3540073.0;2431379.0;12.0;9826;3721666;703765
3218697;3952802432.0;;Pl@ntNet automatic;2020-05-24;145;2020;2.0;2.608447;51.1063;3804327.0;3136719.0;65.0;8456;4032075;1013772
4510301;2823070852.0;Kamil Konowalik;iNaturalist RG;2020-07-18;200;2020;3.0;17.36941;51.13202;4835844.0;3139412.0;48.0;8504;6808612;3788047
2873774;2985083426.0;Kamilla Svingen;NOR Species Observation;2020-11-22;327;2020;4.0;9.546747;59.13283;4294996.0;4003638.0;5.0;4318;5598953;2574870
3019471;2847813009.0;Jukka Väyrynen;ArtPortalen;2020-08-01;214;2020;3.0;16.43941;56.43098;4717999.0;3720884.0;25.0;3911;6749721;3729009
3849105;2975627760.0;;Pl@ntNet automatic;2020-07-14;196;2020;3.0;9.702714;50.86739;4300071.0;3084033.0;12.0;9669;5641177;2617157
1246090;2647759619.0;;Pl@ntNet automatic;2019-03-31;90;2019;2.0;10.22748;43.92039;4339312.0;2312336.0;4.29;5776;5784968;2761257
